Linux 7.0.10-arch1-1 (archlinux) 	06/02/2026 	_x86_64_	(4 CPU)

06:44:34 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
06:44:39 PM      0.01      0.33      0.14      0.29
06:44:44 PM      0.00      0.31      0.14      0.15
06:44:49 PM      0.00      0.28      0.14      0.17
06:44:54 PM      0.00      0.26      0.13      0.20
06:44:59 PM      0.00      0.23      0.13      0.18
06:45:04 PM      0.00      0.22      0.13      0.18
06:45:09 PM      0.00      0.20      0.13      0.15
06:45:14 PM      0.00      0.18      0.12      0.15
06:45:19 PM      0.00      0.16      0.12      0.19
06:45:24 PM      0.00      0.15      0.12      0.15
06:45:29 PM      0.00      0.14      0.12      0.16
06:45:34 PM      0.00      0.13      0.11      0.16
06:45:39 PM      0.00      0.11      0.11      0.17
06:45:44 PM      0.00      0.11      0.11      0.16
06:45:49 PM      0.00      0.10      0.11      0.16
06:45:54 PM      0.00      0.09      0.10      0.16
06:45:59 PM      0.00      0.08      0.10      0.16
06:46:04 PM      0.00      0.07      0.10      0.18
06:46:09 PM      0.00      0.06      0.10      0.19
06:46:14 PM      0.00      0.06      0.10      0.19
06:46:19 PM      0.00      0.05      0.09      0.18
06:46:24 PM      0.00      0.05      0.09      0.17
06:46:29 PM      0.00      0.04      0.09      0.19
06:46:34 PM      0.00      0.04      0.09      0.15
06:46:39 PM      0.00      0.03      0.08      0.17
06:46:44 PM      0.00      0.03      0.08      0.12
06:46:49 PM      0.00      0.03      0.08      0.20
06:46:54 PM      0.00      0.02      0.08      0.20
06:46:59 PM      0.00      0.02      0.07      0.12
06:47:04 PM      0.00      0.02      0.07      0.19
06:47:09 PM      0.00      0.02      0.07      0.19
06:47:14 PM      0.00      0.01      0.07      0.18
06:47:19 PM      0.00      0.01      0.06      0.19
06:47:24 PM      0.00      0.01      0.06      0.19
06:47:29 PM      0.00      0.01      0.06      0.17
06:47:34 PM      0.00      0.01      0.06      0.18
06:47:39 PM      0.00      0.01      0.06      0.19
06:47:44 PM      0.00      0.00      0.06      0.14
06:47:49 PM      0.00      0.00      0.06      0.22
06:47:54 PM      0.00      0.00      0.06      0.14
06:47:59 PM      0.00      0.00      0.05      0.14
06:48:04 PM      0.00      0.00      0.05      0.18
06:48:09 PM      0.00      0.00      0.05      0.13
06:48:14 PM      0.00      0.00      0.05      0.18
06:48:19 PM      0.00      0.00      0.05      0.15
