Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

09:41:06 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
09:41:11 PM      0.02      0.28      0.11      0.13      0.01      0.22      0.08      0.10
09:41:16 PM      0.01      0.25      0.11      0.03      0.00      0.20      0.08      0.03
09:41:21 PM      0.00      0.24      0.10      0.01      0.00      0.18      0.08      0.01
09:41:26 PM      0.00      0.21      0.10      0.04      0.00      0.17      0.07      0.03
09:41:31 PM      0.00      0.20      0.10      0.08      0.00      0.15      0.07      0.08
09:41:36 PM      0.00      0.18      0.10      0.03      0.00      0.14      0.07      0.03
09:41:41 PM      0.00      0.17      0.09      0.01      0.00      0.13      0.07      0.01
09:41:46 PM      0.00      0.15      0.09      0.02      0.00      0.12      0.06      0.02
09:41:51 PM      0.00      0.14      0.09      0.01      0.00      0.11      0.06      0.01
09:41:56 PM      0.00      0.12      0.09      0.03      0.00      0.10      0.06      0.03
09:42:01 PM      0.00      0.12      0.08      0.01      0.00      0.09      0.06      0.01
09:42:06 PM      0.00      0.10      0.08      0.03      0.00      0.08      0.06      0.03
09:42:11 PM      0.00      0.10      0.08      0.01      0.00      0.07      0.06      0.01
09:42:16 PM      0.00      0.09      0.08      0.03      0.00      0.06      0.06      0.03
09:42:21 PM      0.00      0.08      0.07      0.02      0.00      0.06      0.06      0.02
09:42:26 PM      0.00      0.07      0.07      0.04      0.00      0.05      0.05      0.03
09:42:31 PM      0.00      0.06      0.07      0.01      0.00      0.05      0.05      0.01
09:42:36 PM      0.00      0.06      0.07      0.03      0.00      0.04      0.05      0.03
09:42:41 PM      0.00      0.05      0.07      0.01      0.00      0.04      0.05      0.01
09:42:46 PM      0.00      0.05      0.06      0.02      0.00      0.03      0.05      0.02
09:42:51 PM      0.00      0.04      0.06      0.02      0.00      0.03      0.05      0.02
09:42:56 PM      0.00      0.04      0.06      0.02      0.00      0.03      0.05      0.02
09:43:01 PM      0.00      0.03      0.06      0.01      0.00      0.02      0.05      0.01
09:43:06 PM      0.00      0.03      0.06      0.03      0.00      0.02      0.04      0.03
09:43:11 PM      0.00      0.03      0.06      0.06      0.00      0.02      0.04      0.06
09:43:16 PM      0.00      0.02      0.06      0.01      0.00      0.02      0.04      0.01
09:43:21 PM      0.00      0.02      0.06      0.04      0.00      0.01      0.04      0.04
09:43:26 PM      0.00      0.02      0.05      0.01      0.00      0.01      0.04      0.01
09:43:31 PM      0.00      0.02      0.05      0.04      0.00      0.01      0.04      0.04
09:43:36 PM      0.00      0.01      0.05      0.04      0.00      0.01      0.04      0.04
09:43:41 PM      0.00      0.01      0.05      0.02      0.00      0.01      0.04      0.02
09:43:46 PM      0.00      0.01      0.05      0.01      0.00      0.01      0.04      0.01
09:43:51 PM      0.00      0.01      0.05      0.04      0.00      0.00      0.03      0.04
09:43:56 PM      0.00      0.01      0.05      0.02      0.00      0.00      0.03      0.02
09:44:01 PM      0.00      0.01      0.05      0.03      0.00      0.00      0.03      0.03
09:44:06 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.03      0.01
09:44:11 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.03      0.01
09:44:16 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.03      0.01
09:44:21 PM      0.00      0.00      0.04      0.02      0.00      0.00      0.03      0.02
09:44:26 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.03      0.01
09:44:31 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.02      0.01
09:44:36 PM      0.00      0.00      0.04      0.01      0.00      0.00      0.02      0.01
09:44:41 PM      0.00      0.00      0.04      0.06      0.00      0.00      0.02      0.06
09:44:46 PM      0.00      0.00      0.03      0.01      0.00      0.00      0.02      0.01
09:44:51 PM      0.00      0.00      0.03      0.02      0.00      0.00      0.02      0.02
09:44:56 PM      0.00      0.00      0.03      0.01      0.00      0.00      0.02      0.01
