Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

10:19:49 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
10:30:14 AM      0.00      0.00      0.00      0.20
10:30:19 AM      0.00      0.00      0.00      0.17
10:30:24 AM      0.00      0.00      0.00      0.23
10:30:29 AM      0.00      0.00      0.00      0.18
10:30:34 AM      0.00      0.00      0.00      0.14
10:30:39 AM      0.00      0.00      0.00      0.20
10:30:44 AM      0.00      0.00      0.00      0.23
10:30:49 AM      0.00      0.00      0.00      0.14
10:30:54 AM      0.00      0.00      0.00      0.16
10:30:59 AM      0.00      0.00      0.00      0.20
10:31:04 AM      0.00      0.00      0.00      0.18
10:31:09 AM      0.00      0.00      0.00      0.23
10:31:14 AM      0.00      0.00      0.00      0.18
10:31:19 AM      0.00      0.00      0.00      0.17
10:31:24 AM      0.00      0.00      0.00      0.21
10:31:29 AM      0.00      0.00      0.00      0.20
10:31:34 AM      0.00      0.00      0.00      0.18
10:31:39 AM      0.00      0.00      0.00      0.16
10:31:44 AM      0.00      0.00      0.00      0.11
10:31:49 AM      0.00      0.00      0.00      0.21
10:31:54 AM      0.00      0.00      0.00      0.21
10:31:59 AM      0.00      0.00      0.00      0.14
10:32:04 AM      0.00      0.00      0.00      0.12
10:32:09 AM      0.00      0.00      0.00      0.16
10:32:14 AM      0.00      0.00      0.00      0.19
10:32:19 AM      0.00      0.00      0.00      0.18
10:32:24 AM      0.00      0.00      0.00      0.15
10:32:29 AM      0.00      0.00      0.00      0.16
10:32:34 AM      0.00      0.00      0.00      0.17
10:32:39 AM      0.00      0.00      0.00      0.21
10:32:44 AM      0.00      0.00      0.00      0.19
10:32:49 AM      0.00      0.00      0.00      0.25
10:32:54 AM      0.00      0.00      0.00      0.18
10:32:59 AM      0.00      0.00      0.00      0.20
10:33:04 AM      0.00      0.00      0.00      0.17
10:33:09 AM      0.00      0.00      0.00      0.14
10:33:14 AM      0.00      0.00      0.00      0.18
10:33:19 AM      0.00      0.00      0.00      0.15
10:33:24 AM      0.00      0.00      0.00      0.21
10:33:29 AM      0.00      0.00      0.00      0.21
10:33:34 AM      0.00      0.00      0.00      0.17
10:33:39 AM      0.00      0.00      0.00      0.19
10:33:44 AM      0.00      0.00      0.00      0.19
10:33:49 AM      0.00      0.00      0.00      0.14
10:33:54 AM      0.00      0.00      0.00      0.16
10:33:59 AM      0.00      0.00      0.00      0.27
10:34:04 AM      0.00      0.00      0.00      0.14
10:34:09 AM      0.00      0.00      0.00      0.18
10:34:14 AM      0.00      0.00      0.00      0.23
10:34:19 AM      0.00      0.00      0.00      0.18
10:34:24 AM      0.00      0.00      0.00      0.17
10:34:29 AM      0.00      0.00      0.00      0.20
10:34:34 AM      0.00      0.00      0.00      0.19
10:34:39 AM      0.00      0.00      0.00      0.18
10:34:44 AM      0.00      0.00      0.00      0.21
10:34:49 AM      0.00      0.00      0.00      0.20
10:34:54 AM      0.00      0.00      0.00      0.26
10:34:59 AM      0.00      0.00      0.00      0.08
10:35:04 AM      0.00      0.00      0.00      0.14
10:35:09 AM      0.00      0.00      0.00      0.22
10:35:14 AM      0.00      0.00      0.00      0.17
10:35:19 AM      0.00      0.00      0.00      0.15
10:35:24 AM      0.00      0.00      0.00      0.21
10:35:29 AM      0.00      0.00      0.00      0.15
10:35:34 AM      0.00      0.00      0.00      0.18
10:35:39 AM      0.00      0.00      0.00      0.17
10:35:44 AM      0.00      0.00      0.00      0.16
10:35:49 AM      0.00      0.00      0.00      0.18
10:35:54 AM      0.00      0.00      0.00      0.17
10:35:59 AM      0.00      0.00      0.00      0.20
10:36:04 AM      0.00      0.00      0.00      0.16
10:36:09 AM      0.00      0.00      0.00      0.18
10:36:14 AM      0.00      0.00      0.00      0.19
10:36:19 AM      0.00      0.00      0.00      0.20
10:36:24 AM      0.00      0.00      0.00      0.19
10:36:29 AM      0.00      0.00      0.00      0.19
10:36:34 AM      0.00      0.00      0.00      0.17
10:36:39 AM      0.00      0.00      0.00      0.22
