Linux 7.0.10-arch1-1 (archlinux) 	06/02/2026 	_x86_64_	(4 CPU)

06:47:15 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
06:47:20 AM      0.00      0.03      0.07      0.19
06:47:25 AM      0.00      0.02      0.07      0.17
06:47:30 AM      0.00      0.02      0.06      0.14
06:47:35 AM      0.00      0.02      0.06      0.19
06:47:40 AM      0.00      0.02      0.06      0.24
06:47:45 AM      0.00      0.01      0.06      0.22
06:47:50 AM      0.00      0.01      0.06      0.17
06:47:55 AM      0.00      0.01      0.06      0.19
06:48:00 AM      0.00      0.01      0.06      0.18
06:48:05 AM      0.00      0.01      0.06      0.19
06:48:10 AM      0.00      0.01      0.05      0.19
06:48:15 AM      0.00      0.00      0.05      0.19
06:48:20 AM      0.00      0.00      0.05      0.18
06:48:25 AM      0.00      0.00      0.05      0.20
06:48:30 AM      0.00      0.00      0.05      0.19
06:48:35 AM      0.00      0.00      0.05      0.20
06:48:40 AM      0.00      0.00      0.05      0.14
06:48:45 AM      0.00      0.00      0.05      0.24
06:48:50 AM      0.00      0.00      0.04      0.19
06:48:55 AM      0.00      0.00      0.04      0.19
06:49:00 AM      0.00      0.00      0.04      0.12
06:49:05 AM      0.00      0.00      0.04      0.21
06:49:10 AM      0.00      0.00      0.04      0.17
06:49:15 AM      0.00      0.00      0.04      0.19
06:49:20 AM      0.00      0.00      0.04      0.13
06:49:25 AM      0.00      0.00      0.04      0.17
06:49:30 AM      0.00      0.00      0.04      0.18
06:49:35 AM      0.00      0.00      0.03      0.18
06:49:40 AM      0.00      0.00      0.03      0.25
06:49:45 AM      0.00      0.00      0.03      0.22
06:49:50 AM      0.00      0.00      0.03      0.16
06:49:55 AM      0.00      0.00      0.03      0.22
06:50:00 AM      0.00      0.00      0.03      0.22
06:50:05 AM      0.00      0.00      0.03      0.14
06:50:10 AM      0.00      0.00      0.03      0.21
06:50:15 AM      0.00      0.00      0.02      0.16
06:50:20 AM      0.00      0.00      0.02      0.20
06:50:25 AM      0.00      0.00      0.02      0.18
06:50:30 AM      0.00      0.00      0.02      0.20
06:50:35 AM      0.00      0.00      0.02      0.16
06:50:40 AM      0.00      0.00      0.02      0.17
06:50:45 AM      0.00      0.00      0.02      0.27
06:50:50 AM      0.00      0.00      0.02      0.25
06:50:55 AM      0.00      0.00      0.01      0.17
06:51:00 AM      0.00      0.00      0.01      0.16
06:51:05 AM      0.00      0.00      0.01      0.20
06:51:10 AM      0.00      0.00      0.01      0.19
06:51:15 AM      0.00      0.00      0.01      0.18
06:51:20 AM      0.00      0.00      0.01      0.09
06:51:25 AM      0.00      0.00      0.01      0.18
06:51:30 AM      0.00      0.00      0.01      0.20
06:51:35 AM      0.00      0.00      0.00      0.20
06:51:40 AM      0.00      0.00      0.00      0.20
06:51:45 AM      0.00      0.00      0.00      0.14
06:51:50 AM      0.00      0.00      0.00      0.17
06:51:55 AM      0.00      0.00      0.00      0.20
06:52:00 AM      0.00      0.00      0.00      0.16
06:52:05 AM      0.00      0.00      0.00      0.19
06:52:10 AM      0.00      0.00      0.00      0.18
06:52:15 AM      0.00      0.00      0.00      0.13
06:52:20 AM      0.00      0.00      0.00      0.16
06:52:25 AM      0.00      0.00      0.00      0.21
06:52:30 AM      0.00      0.00      0.00      0.20
06:52:35 AM      0.00      0.00      0.00      0.19
06:52:40 AM      0.00      0.00      0.00      0.19
06:52:45 AM      0.00      0.00      0.00      0.16
06:52:50 AM      0.00      0.00      0.00      0.19
06:52:55 AM      0.00      0.00      0.00      0.17
06:53:00 AM      0.00      0.00      0.00      0.22
06:53:05 AM      0.00      0.00      0.00      0.17
06:53:10 AM      0.00      0.00      0.00      0.18
06:53:15 AM      0.00      0.00      0.00      0.16
06:53:20 AM      0.00      0.00      0.00      0.25
06:53:25 AM      0.00      0.00      0.00      0.06
06:53:30 AM      0.00      0.00      0.00      0.13
06:53:35 AM      0.00      0.00      0.00      0.24
06:53:40 AM      0.00      0.00      0.00      0.20
06:53:45 AM      0.00      0.00      0.00      0.21
06:53:50 AM      0.00      0.00      0.00      0.23
06:53:55 AM      0.00      0.00      0.00      0.23
06:54:00 AM      0.00      0.00      0.00      0.19
06:54:05 AM      0.00      0.00      0.00      0.17
06:54:10 AM      0.00      0.00      0.00      0.19
06:54:15 AM      0.00      0.00      0.00      0.15
06:54:20 AM      0.00      0.00      0.00      0.21
06:54:25 AM      0.00      0.00      0.00      0.25
06:54:30 AM      0.00      0.00      0.00      0.22
06:54:35 AM      0.00      0.00      0.00      0.19
06:54:40 AM      0.00      0.00      0.00      0.18
06:54:45 AM      0.00      0.00      0.00      0.19
06:54:50 AM      0.00      0.00      0.00      0.26
06:54:55 AM      0.00      0.00      0.00      0.21
06:55:00 AM      0.00      0.00      0.00      0.19
06:55:05 AM      0.00      0.00      0.00      0.17
06:55:10 AM      0.00      0.00      0.00      0.16
06:55:15 AM      0.00      0.00      0.00      0.21
06:55:20 AM      0.00      0.00      0.00      0.25
06:55:25 AM      0.00      0.00      0.00      0.14
06:55:30 AM      0.00      0.00      0.00      0.14
06:55:35 AM      0.00      0.00      0.00      0.18
06:55:40 AM      0.00      0.00      0.00      0.19
06:55:45 AM      0.00      0.00      0.00      0.23
06:55:50 AM      0.00      0.00      0.00      0.23
06:55:55 AM      0.00      0.00      0.00      0.23
06:56:00 AM      0.00      0.00      0.00      0.22
06:56:05 AM      0.00      0.00      0.00      0.18
06:56:10 AM      0.00      0.00      0.00      0.21
06:56:15 AM      0.00      0.00      0.00      0.16
06:56:20 AM      0.00      0.00      0.00      0.18
06:56:25 AM      0.00      0.00      0.00      0.26
06:56:30 AM      0.00      0.00      0.00      0.20
06:56:35 AM      0.00      0.00      0.00      0.24
06:56:40 AM      0.00      0.00      0.00      0.19
06:56:45 AM      0.00      0.00      0.00      0.18
06:56:50 AM      0.00      0.00      0.00      0.22
06:56:55 AM      0.00      0.00      0.00      0.22
06:57:00 AM      0.00      0.00      0.00      0.18
06:57:05 AM      0.00      0.00      0.00      0.19
06:57:10 AM      0.00      0.00      0.00      0.19
06:57:15 AM      0.00      0.00      0.00      0.19
06:57:20 AM      0.00      0.00      0.00      0.18
06:57:25 AM      0.00      0.00      0.00      0.21
06:57:30 AM      0.00      0.00      0.00      0.15
06:57:35 AM      0.00      0.00      0.00      0.15
06:57:40 AM      0.00      0.00      0.00      0.23
06:57:45 AM      0.00      0.00      0.00      0.20
06:57:50 AM      0.00      0.00      0.00      0.19
06:57:55 AM      0.00      0.00      0.00      0.23
06:58:00 AM      0.00      0.00      0.00      0.21
06:58:05 AM      0.00      0.00      0.00      0.20
06:58:10 AM      0.00      0.00      0.00      0.23
06:58:15 AM      0.00      0.00      0.00      0.21
06:58:20 AM      0.00      0.00      0.00      0.22
06:58:25 AM      0.00      0.00      0.00      0.24
06:58:30 AM      0.00      0.00      0.00      0.23
06:58:35 AM      0.00      0.00      0.00      0.17
06:58:40 AM      0.00      0.00      0.00      0.13
06:58:45 AM      0.00      0.00      0.00      0.19
06:58:50 AM      0.00      0.00      0.00      0.16
06:58:55 AM      0.00      0.00      0.00      0.19
06:59:00 AM      0.00      0.00      0.00      0.18
06:59:05 AM      0.00      0.00      0.00      0.20
06:59:10 AM      0.00      0.00      0.00      0.13
