Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

12:17:25 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
12:27:50 AM      0.00      0.00      0.00      0.15
12:27:55 AM      0.00      0.00      0.00      0.18
12:28:00 AM      0.00      0.00      0.00      0.18
12:28:05 AM      0.00      0.00      0.00      0.18
12:28:10 AM      0.00      0.00      0.00      0.17
12:28:15 AM      0.00      0.00      0.00      0.15
12:28:20 AM      0.00      0.00      0.00      0.21
12:28:25 AM      0.00      0.00      0.00      0.16
12:28:30 AM      0.00      0.00      0.00      0.19
12:28:35 AM      0.00      0.00      0.00      0.21
12:28:40 AM      0.00      0.00      0.00      0.15
12:28:45 AM      0.00      0.00      0.00      0.19
12:28:50 AM      0.00      0.00      0.00      0.22
12:28:55 AM      0.00      0.00      0.00      0.17
12:29:00 AM      0.00      0.00      0.00      0.19
12:29:05 AM      0.00      0.00      0.00      0.22
12:29:10 AM      0.00      0.00      0.00      0.23
12:29:15 AM      0.00      0.00      0.00      0.16
12:29:20 AM      0.00      0.00      0.00      0.16
12:29:25 AM      0.00      0.00      0.00      0.20
12:29:30 AM      0.00      0.00      0.00      0.18
12:29:35 AM      0.00      0.00      0.00      0.16
12:29:40 AM      0.00      0.00      0.00      0.10
12:29:45 AM      0.00      0.00      0.00      0.15
12:29:50 AM      0.00      0.00      0.00      0.15
12:29:55 AM      0.00      0.00      0.00      0.18
12:30:00 AM      0.00      0.00      0.00      0.15
12:30:05 AM      0.00      0.00      0.00      0.21
12:30:10 AM      0.00      0.00      0.00      0.17
12:30:15 AM      0.00      0.00      0.00      0.21
12:30:20 AM      0.00      0.00      0.00      0.19
12:30:25 AM      0.00      0.00      0.00      0.20
12:30:30 AM      0.00      0.00      0.00      0.16
12:30:35 AM      0.00      0.00      0.00      0.20
12:30:40 AM      0.00      0.00      0.00      0.19
12:30:45 AM      0.00      0.00      0.00      0.21
12:30:50 AM      0.00      0.00      0.00      0.20
12:30:55 AM      0.00      0.00      0.00      0.22
12:31:00 AM      0.00      0.00      0.00      0.19
12:31:05 AM      0.00      0.00      0.00      0.23
12:31:10 AM      0.00      0.00      0.00      0.20
12:31:15 AM      0.00      0.00      0.00      0.22
12:31:20 AM      0.00      0.00      0.00      0.18
12:31:25 AM      0.00      0.00      0.00      0.11
12:31:30 AM      0.00      0.00      0.00      0.18
