Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

12:17:25 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
12:17:30 AM      0.00      0.00      0.02      0.11      0.00      0.00      0.01      0.08
12:17:35 AM      0.00      0.00      0.02      0.04      0.00      0.00      0.01      0.04
12:17:40 AM      0.00      0.00      0.02      0.01      0.00      0.00      0.01      0.01
12:17:45 AM      0.00      0.00      0.02      0.03      0.00      0.00      0.01      0.03
12:17:50 AM      0.00      0.00      0.02      0.04      0.00      0.00      0.01      0.04
12:17:55 AM      0.00      0.00      0.02      0.01      0.00      0.00      0.01      0.01
12:18:00 AM      0.00      0.00      0.02      0.03      0.00      0.00      0.01      0.02
12:18:05 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
12:18:10 AM      0.00      0.00      0.01      0.03      0.00      0.00      0.00      0.03
12:18:15 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
12:18:20 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
12:18:25 AM      0.00      0.00      0.01      0.03      0.00      0.00      0.00      0.03
12:18:30 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
12:18:35 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
12:18:40 AM      0.00      0.00      0.01      0.03      0.00      0.00      0.00      0.03
12:18:45 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:18:50 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
12:18:55 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
12:19:00 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
12:19:05 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:10 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.01
12:19:15 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:20 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:25 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:30 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:35 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
12:19:40 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
12:19:45 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
12:19:50 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:19:55 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:00 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:05 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:10 AM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
12:20:15 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:20 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:25 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:30 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
12:20:35 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
