Linux 7.0.10-arch1-1 (archlinux) 	06/02/2026 	_x86_64_	(4 CPU)

09:01:52 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
09:01:57 PM      0.00      0.21      0.12      0.28
09:02:02 PM      0.00      0.20      0.12      0.19
09:02:07 PM      0.00      0.18      0.12      0.16
09:02:12 PM      0.00      0.17      0.12      0.19
09:02:17 PM      0.00      0.15      0.12      0.16
09:02:22 PM      0.00      0.14      0.11      0.15
09:02:27 PM      0.00      0.12      0.11      0.18
09:02:32 PM      0.00      0.12      0.11      0.20
09:02:37 PM      0.00      0.10      0.11      0.17
09:02:42 PM      0.00      0.10      0.10      0.17
09:02:47 PM      0.00      0.09      0.10      0.15
09:02:52 PM      0.00      0.08      0.10      0.18
09:02:57 PM      0.00      0.07      0.10      0.17
09:03:02 PM      0.00      0.06      0.09      0.21
09:03:07 PM      0.00      0.06      0.09      0.15
09:03:12 PM      0.00      0.05      0.09      0.25
09:03:17 PM      0.00      0.05      0.09      0.18
09:03:22 PM      0.00      0.04      0.08      0.21
09:03:27 PM      0.00      0.04      0.08      0.23
09:03:32 PM      0.00      0.03      0.08      0.18
09:03:37 PM      0.00      0.03      0.08      0.13
09:03:42 PM      0.00      0.03      0.07      0.17
09:03:47 PM      0.00      0.02      0.07      0.22
09:03:52 PM      0.00      0.02      0.07      0.18
09:03:57 PM      0.00      0.02      0.07      0.19
09:04:02 PM      0.00      0.02      0.07      0.16
09:04:07 PM      0.00      0.01      0.06      0.16
09:04:12 PM      0.00      0.01      0.06      0.16
09:04:17 PM      0.00      0.01      0.06      0.20
09:04:22 PM      0.00      0.01      0.06      0.17
09:04:27 PM      0.00      0.01      0.06      0.23
09:04:32 PM      0.00      0.01      0.06      0.17
09:04:37 PM      0.00      0.00      0.06      0.15
09:04:42 PM      0.00      0.00      0.06      0.18
09:04:47 PM      0.00      0.00      0.05      0.18
09:04:52 PM      0.00      0.00      0.05      0.21
09:04:57 PM      0.00      0.00      0.05      0.18
09:05:02 PM      0.00      0.00      0.05      0.18
09:05:07 PM      0.00      0.00      0.05      0.18
09:05:12 PM      0.00      0.00      0.05      0.17
09:05:17 PM      0.00      0.00      0.05      0.16
09:05:22 PM      0.00      0.00      0.05      0.21
09:05:27 PM      0.00      0.00      0.04      0.15
09:05:32 PM      0.00      0.00      0.04      0.21
09:05:37 PM      0.00      0.00      0.04      0.15
09:05:42 PM      0.00      0.00      0.04      0.14
09:05:47 PM      0.00      0.00      0.04      0.17
09:05:52 PM      0.00      0.00      0.04      0.17
09:05:57 PM      0.00      0.00      0.04      0.12
09:06:02 PM      0.00      0.00      0.04      0.17
09:06:07 PM      0.00      0.00      0.03      0.16
09:06:12 PM      0.00      0.00      0.03      0.19
09:06:17 PM      0.00      0.00      0.03      0.13
09:06:22 PM      0.00      0.00      0.03      0.17
09:06:27 PM      0.00      0.00      0.03      0.25
09:06:32 PM      0.00      0.00      0.03      0.20
09:06:37 PM      0.00      0.00      0.03      0.22
09:06:42 PM      0.00      0.00      0.03      0.18
09:06:47 PM      0.00      0.00      0.02      0.15
09:06:52 PM      0.00      0.00      0.02      0.24
09:06:57 PM      0.00      0.00      0.02      0.14
09:07:02 PM      0.00      0.00      0.02      0.16
09:07:07 PM      0.00      0.00      0.02      0.17
09:07:12 PM      0.00      0.00      0.02      0.19
09:07:17 PM      0.00      0.00      0.02      0.17
09:07:22 PM      0.00      0.00      0.02      0.21
09:07:27 PM      0.00      0.00      0.02      0.18
09:07:32 PM      0.00      0.00      0.01      0.21
09:07:37 PM      0.00      0.00      0.01      0.16
09:07:42 PM      0.00      0.00      0.01      0.22
09:07:47 PM      0.00      0.00      0.01      0.12
09:07:52 PM      0.00      0.00      0.01      0.16
09:07:57 PM      0.00      0.00      0.01      0.15
09:08:02 PM      0.00      0.00      0.01      0.05
09:08:07 PM      0.00      0.00      0.01      0.10
09:08:12 PM      0.00      0.00      0.00      0.21
09:08:17 PM      0.00      0.00      0.00      0.19
09:08:22 PM      0.00      0.00      0.00      0.20
09:08:27 PM      0.00      0.00      0.00      0.17
09:08:32 PM      0.00      0.00      0.00      0.22
09:08:37 PM      0.00      0.00      0.00      0.17
09:08:42 PM      0.00      0.00      0.00      0.18
09:08:47 PM      0.00      0.00      0.00      0.18
09:08:52 PM      0.00      0.00      0.00      0.16
09:08:57 PM      0.00      0.00      0.00      0.17
09:09:02 PM      0.00      0.00      0.00      0.18
09:09:07 PM      0.00      0.00      0.00      0.21
09:09:12 PM      0.00      0.00      0.00      0.19
09:09:17 PM      0.00      0.00      0.00      0.19
09:09:22 PM      0.00      0.00      0.00      0.15
09:09:27 PM      0.00      0.00      0.00      0.21
09:09:32 PM      0.00      0.00      0.00      0.14
09:09:37 PM      0.00      0.00      0.00      0.19
09:09:42 PM      0.00      0.00      0.00      0.12
09:09:47 PM      0.00      0.00      0.00      0.18
09:09:52 PM      0.00      0.00      0.00      0.13
09:09:57 PM      0.00      0.00      0.00      0.22
09:10:02 PM      0.00      0.00      0.00      0.18
09:10:07 PM      0.00      0.00      0.00      0.15
09:10:12 PM      0.00      0.00      0.00      0.14
09:10:17 PM      0.00      0.00      0.00      0.17
09:10:22 PM      0.00      0.00      0.00      0.20
09:10:27 PM      0.00      0.00      0.00      0.16
09:10:32 PM      0.00      0.00      0.00      0.18
09:10:37 PM      0.00      0.00      0.00      0.15
09:10:42 PM      0.00      0.00      0.00      0.16
09:10:47 PM      0.00      0.00      0.00      0.16
09:10:52 PM      0.00      0.00      0.00      0.16
09:10:57 PM      0.00      0.00      0.00      0.16
09:11:02 PM      0.00      0.00      0.00      0.18
09:11:07 PM      0.00      0.00      0.00      0.13
09:11:12 PM      0.00      0.00      0.00      0.23
09:11:17 PM      0.00      0.00      0.00      0.16
09:11:22 PM      0.00      0.00      0.00      0.17
09:11:27 PM      0.00      0.00      0.00      0.18
09:11:32 PM      0.00      0.00      0.00      0.11
09:11:37 PM      0.00      0.00      0.00      0.16
09:11:42 PM      0.00      0.00      0.00      0.19
09:11:47 PM      0.00      0.00      0.00      0.19
09:11:52 PM      0.00      0.00      0.00      0.14
09:11:57 PM      0.00      0.00      0.00      0.20
09:12:02 PM      0.00      0.00      0.00      0.18
09:12:07 PM      0.00      0.00      0.00      0.11
09:12:12 PM      0.00      0.00      0.00      0.13
09:12:17 PM      0.00      0.00      0.00      0.12
09:12:22 PM      0.00      0.00      0.00      0.17
09:12:27 PM      0.00      0.00      0.00      0.15
09:12:32 PM      0.00      0.00      0.00      0.17
09:12:37 PM      0.00      0.00      0.00      0.21
09:12:42 PM      0.00      0.00      0.00      0.19
09:12:47 PM      0.00      0.00      0.00      0.17
09:12:52 PM      0.00      0.00      0.00      0.17
09:12:57 PM      0.00      0.00      0.00      0.11
09:13:02 PM      0.00      0.00      0.00      0.23
09:13:07 PM      0.00      0.00      0.00      0.14
09:13:12 PM      0.00      0.00      0.00      0.20
09:13:17 PM      0.00      0.00      0.00      0.20
09:13:22 PM      0.00      0.00      0.00      0.16
09:13:27 PM      0.00      0.00      0.00      0.18
09:13:32 PM      0.00      0.00      0.00      0.13
09:13:37 PM      0.00      0.00      0.00      0.18
09:13:42 PM      0.00      0.00      0.00      0.23
09:13:47 PM      0.00      0.00      0.00      0.21
09:13:52 PM      0.00      0.00      0.00      0.17
09:13:57 PM      0.00      0.00      0.00      0.15
09:14:02 PM      0.00      0.00      0.00      0.05
09:14:07 PM      0.00      0.00      0.00      0.04
09:14:12 PM      0.00      0.00      0.00      0.13
09:14:17 PM      0.00      0.00      0.00      0.17
09:14:22 PM      0.00      0.00      0.00      0.21
09:14:27 PM      0.00      0.00      0.00      0.17
09:14:32 PM      0.00      0.00      0.00      0.20
09:14:37 PM      0.00      0.00      0.00      0.16
09:14:42 PM      0.00      0.00      0.00      0.16
09:14:47 PM      0.00      0.00      0.00      0.17
09:14:52 PM      0.00      0.00      0.00      0.15
09:14:57 PM      0.00      0.00      0.00      0.21
09:15:02 PM      0.00      0.00      0.00      0.19
09:15:07 PM      0.00      0.00      0.00      0.18
09:15:12 PM      0.00      0.00      0.00      0.23
09:15:17 PM      0.00      0.00      0.00      0.15
09:15:22 PM      0.00      0.00      0.00      0.19
09:15:27 PM      0.00      0.00      0.00      0.16
09:15:32 PM      0.00      0.00      0.00      0.24
09:15:37 PM      0.00      0.00      0.00      0.19
09:15:42 PM      0.00      0.00      0.00      0.18
09:15:47 PM      0.00      0.00      0.00      0.17
09:15:52 PM      0.00      0.00      0.00      0.19
09:15:57 PM      0.00      0.00      0.00      0.17
09:16:02 PM      0.00      0.00      0.00      0.17
09:16:07 PM      0.00      0.00      0.00      0.17
09:16:12 PM      0.00      0.00      0.00      0.13
09:16:17 PM      0.00      0.00      0.00      0.16
09:16:22 PM      0.00      0.00      0.00      0.17
09:16:27 PM      0.00      0.00      0.00      0.12
09:16:32 PM      0.00      0.00      0.00      0.16
09:16:37 PM      0.00      0.00      0.00      0.23
09:16:42 PM      0.00      0.00      0.00      0.16
09:16:47 PM      0.00      0.00      0.00      0.23
09:16:52 PM      0.00      0.00      0.00      0.22
09:16:57 PM      0.00      0.00      0.00      0.19
09:17:02 PM      0.00      0.00      0.00      0.22
09:17:07 PM      0.00      0.00      0.00      0.16
09:17:12 PM      0.00      0.00      0.00      0.20
09:17:17 PM      0.00      0.00      0.00      0.21
09:17:22 PM      0.00      0.00      0.00      0.21
09:17:27 PM      0.00      0.00      0.00      0.16
09:17:32 PM      0.00      0.00      0.00      0.19
09:17:37 PM      0.00      0.00      0.00      0.16
09:17:42 PM      0.00      0.00      0.00      0.20
09:17:47 PM      0.00      0.00      0.00      0.16
09:17:52 PM      0.00      0.00      0.00      0.16
09:17:57 PM      0.00      0.00      0.00      0.11
09:18:02 PM      0.00      0.00      0.00      0.16
09:18:07 PM      0.00      0.00      0.00      0.13
09:18:12 PM      0.00      0.00      0.00      0.07
09:18:17 PM      0.00      0.00      0.00      0.17
09:18:22 PM      0.00      0.00      0.00      0.16
09:18:27 PM      0.00      0.00      0.00      0.15
