Linux 7.0.10-arch1-1 (archlinux) 	05/28/2026 	_x86_64_	(4 CPU)

11:05:30 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
11:15:55 AM      0.00      0.00      0.00      0.05
11:16:00 AM      0.00      0.00      0.00      0.05
11:16:05 AM      0.00      0.00      0.00      0.07
11:16:10 AM      0.00      0.00      0.00      0.05
11:16:15 AM      0.00      0.00      0.00      0.05
11:16:20 AM      0.00      0.00      0.00      0.05
11:16:25 AM      0.00      0.00      0.00      0.07
11:16:30 AM      0.00      0.00      0.00      0.05
11:16:35 AM      0.00      0.00      0.00      0.06
11:16:40 AM      0.00      0.00      0.00      0.05
11:16:45 AM      0.00      0.00      0.00      0.08
11:16:50 AM      0.00      0.00      0.00      0.05
11:16:55 AM      0.00      0.00      0.00      0.06
11:17:00 AM      0.00      0.00      0.00      0.05
11:17:05 AM      0.00      0.00      0.00      0.06
11:17:10 AM      0.00      0.00      0.00      0.05
11:17:15 AM      0.00      0.00      0.00      0.07
11:17:20 AM      0.00      0.00      0.00      0.05
11:17:25 AM      0.00      0.00      0.00      0.08
11:17:30 AM      0.00      0.00      0.00      0.05
11:17:35 AM      0.00      0.00      0.00      0.06
11:17:40 AM      0.00      0.00      0.00      0.05
11:17:45 AM      0.00      0.00      0.00      0.07
11:17:50 AM      0.00      0.00      0.00      0.05
11:17:55 AM      0.00      0.00      0.00      0.07
11:18:00 AM      0.00      0.00      0.00      0.05
11:18:05 AM      0.00      0.00      0.00      0.07
11:18:10 AM      0.00      0.00      0.00      0.04
11:18:15 AM      0.00      0.00      0.00      0.06
11:18:20 AM      0.00      0.00      0.00      0.05
11:18:25 AM      0.00      0.00      0.00      0.14
11:18:30 AM      0.00      0.00      0.00      0.05
11:18:35 AM      0.00      0.00      0.00      0.06
11:18:40 AM      0.00      0.00      0.00      0.05
11:18:45 AM      0.00      0.00      0.00      0.08
11:18:50 AM      0.00      0.00      0.00      0.05
11:18:55 AM      0.00      0.00      0.00      0.07
11:19:00 AM      0.00      0.00      0.00      0.05
11:19:05 AM      0.00      0.00      0.00      0.05
11:19:10 AM      0.00      0.00      0.00      0.05
11:19:15 AM      0.00      0.00      0.00      0.07
11:19:20 AM      0.00      0.00      0.00      0.05
11:19:25 AM      0.00      0.00      0.00      0.08
11:19:30 AM      0.00      0.00      0.00      0.05
11:19:35 AM      0.00      0.00      0.00      0.05
11:19:40 AM      0.00      0.00      0.00      0.05
11:19:45 AM      0.00      0.00      0.00      0.06
11:19:50 AM      0.00      0.00      0.00      0.05
11:19:55 AM      0.00      0.00      0.00      0.05
11:20:00 AM      0.00      0.00      0.00      0.05
11:20:05 AM      0.00      0.00      0.00      0.07
11:20:10 AM      0.00      0.00      0.00      0.05
11:20:15 AM      0.00      0.00      0.00      0.07
11:20:20 AM      0.00      0.00      0.00      0.05
11:20:25 AM      0.00      0.00      0.00      0.07
11:20:30 AM      0.00      0.00      0.00      0.05
11:20:35 AM      0.00      0.00      0.00      0.05
11:20:40 AM      0.00      0.00      0.00      0.05
11:20:45 AM      0.00      0.00      0.00      0.05
11:20:50 AM      0.00      0.00      0.00      0.06
11:20:55 AM      0.00      0.00      0.00      0.06
11:21:00 AM      0.00      0.00      0.00      0.05
11:21:05 AM      0.00      0.00      0.00      0.07
11:21:10 AM      0.00      0.00      0.00      0.04
11:21:15 AM      0.00      0.00      0.00      0.07
11:21:20 AM      0.00      0.00      0.00      0.05
11:21:25 AM      0.00      0.00      0.00      0.07
11:21:30 AM      0.00      0.00      0.00      0.04
11:21:35 AM      0.00      0.00      0.00      0.05
11:21:40 AM      0.00      0.00      0.00      0.05
11:21:45 AM      0.00      0.00      0.00      0.07
11:21:50 AM      0.00      0.00      0.00      0.05
11:21:55 AM      0.00      0.00      0.00      0.05
11:22:00 AM      0.00      0.00      0.00      0.05
11:22:05 AM      0.00      0.00      0.00      0.07
11:22:10 AM      0.00      0.00      0.00      0.05
11:22:15 AM      0.00      0.00      0.00      0.07
11:22:20 AM      0.00      0.00      0.00      0.04
11:22:25 AM      0.00      0.00      0.00      0.07
11:22:30 AM      0.00      0.00      0.00      0.04
11:22:35 AM      0.00      0.00      0.00      0.06
11:22:40 AM      0.00      0.00      0.00      0.04
11:22:45 AM      0.00      0.00      0.00      0.08
11:22:50 AM      0.00      0.00      0.00      0.05
11:22:55 AM      0.00      0.00      0.00      0.07
11:23:00 AM      0.00      0.00      0.00      0.05
11:23:05 AM      0.00      0.00      0.00      0.07
11:23:10 AM      0.00      0.00      0.00      0.05
11:23:15 AM      0.00      0.00      0.00      0.07
11:23:20 AM      0.00      0.00      0.00      0.05
11:23:25 AM      0.00      0.00      0.00      0.07
11:23:30 AM      0.00      0.00      0.00      0.05
11:23:35 AM      0.00      0.00      0.00      0.07
11:23:40 AM      0.00      0.00      0.00      0.05
11:23:45 AM      0.00      0.00      0.00      0.06
11:23:50 AM      0.00      0.00      0.00      0.05
11:23:55 AM      0.00      0.00      0.00      0.07
11:24:00 AM      0.00      0.00      0.00      0.03
11:24:05 AM      0.00      0.00      0.00      0.05
11:24:10 AM      0.00      0.00      0.00      0.05
11:24:15 AM      0.00      0.00      0.00      0.07
11:24:20 AM      0.00      0.00      0.00      0.04
11:24:25 AM      0.00      0.00      0.00      0.05
11:24:30 AM      0.00      0.00      0.00      0.05
11:24:35 AM      0.00      0.00      0.00      0.09
11:24:40 AM      0.00      0.00      0.00      0.05
11:24:45 AM      0.00      0.00      0.00      0.06
11:24:50 AM      0.00      0.00      0.00      0.05
11:24:55 AM      0.00      0.00      0.00      0.07
11:25:00 AM      0.00      0.00      0.00      0.05
11:25:05 AM      0.00      0.00      0.00      0.05
11:25:10 AM      0.00      0.00      0.00      0.06
11:25:15 AM      0.00      0.00      0.00      0.07
11:25:20 AM      0.00      0.00      0.00      0.05
11:25:25 AM      0.00      0.00      0.00      0.06
11:25:30 AM      0.00      0.00      0.00      0.04
11:25:35 AM      0.00      0.00      0.00      0.08
11:25:40 AM      0.00      0.00      0.00      0.05
11:25:45 AM      0.00      0.00      0.00      0.07
11:25:50 AM      0.00      0.00      0.00      0.04
11:25:55 AM      0.00      0.00      0.00      0.06
11:26:00 AM      0.00      0.00      0.00      0.05
11:26:05 AM      0.00      0.00      0.00      0.07
11:26:10 AM      0.00      0.00      0.00      0.04
11:26:15 AM      0.00      0.00      0.00      0.07
11:26:20 AM      0.00      0.00      0.00      0.05
11:26:25 AM      0.00      0.00      0.00      0.07
11:26:30 AM      0.00      0.00      0.00      0.04
11:26:35 AM      0.00      0.00      0.00      0.05
11:26:40 AM      0.00      0.00      0.00      0.04
11:26:45 AM      0.00      0.00      0.00      0.07
11:26:50 AM      0.00      0.00      0.00      0.04
11:26:55 AM      0.00      0.00      0.00      0.05
11:27:00 AM      0.00      0.00      0.00      0.05
11:27:05 AM      0.00      0.00      0.00      0.07
11:27:10 AM      0.00      0.00      0.00      0.04
11:27:15 AM      0.00      0.00      0.00      0.05
11:27:20 AM      0.00      0.00      0.00      0.05
11:27:25 AM      0.00      0.00      0.00      0.06
11:27:30 AM      0.00      0.00      0.00      0.05
11:27:35 AM      0.00      0.00      0.00      0.07
11:27:40 AM      0.00      0.00      0.00      0.05
11:27:45 AM      0.00      0.00      0.00      0.05
11:27:50 AM      0.00      0.00      0.00      0.05
11:27:55 AM      0.00      0.00      0.00      0.07
11:28:00 AM      0.00      0.00      0.00      0.04
11:28:05 AM      0.00      0.00      0.00      0.07
11:28:10 AM      0.00      0.00      0.00      0.05
11:28:15 AM      0.00      0.00      0.00      0.06
11:28:20 AM      0.00      0.00      0.00      0.05
11:28:25 AM      0.00      0.00      0.00      0.06
11:28:30 AM      0.00      0.00      0.00      0.04
11:28:35 AM      0.00      0.00      0.00      0.07
11:28:40 AM      0.00      0.00      0.00      0.05
11:28:45 AM      0.00      0.00      0.00      0.05
11:28:50 AM      0.00      0.00      0.00      0.05
11:28:55 AM      0.00      0.00      0.00      0.07
11:29:00 AM      0.00      0.00      0.00      0.05
11:29:05 AM      0.00      0.00      0.00      0.07
11:29:10 AM      0.00      0.00      0.00      0.05
11:29:15 AM      0.00      0.00      0.00      0.06
11:29:20 AM      0.00      0.00      0.00      0.05
11:29:25 AM      0.00      0.00      0.00      0.08
11:29:30 AM      0.00      0.00      0.00      0.05
11:29:35 AM      0.00      0.00      0.00      0.06
11:29:40 AM      0.00      0.00      0.00      0.05
11:29:45 AM      0.00      0.00      0.00      0.07
11:29:50 AM      0.00      0.00      0.00      0.04
11:29:55 AM      0.00      0.00      0.00      0.07
11:30:00 AM      0.00      0.00      0.00      0.04
11:30:05 AM      0.00      0.00      0.00      0.05
11:30:10 AM      0.00      0.00      0.00      0.05
11:30:15 AM      0.00      0.00      0.00      0.07
11:30:20 AM      0.00      0.00      0.00      0.05
11:30:25 AM      0.00      0.00      0.00      0.07
11:30:30 AM      0.00      0.00      0.00      0.05
11:30:35 AM      0.00      0.00      0.00      0.07
11:30:40 AM      0.00      0.00      0.00      0.05
11:30:45 AM      0.00      0.00      0.00      0.05
11:30:50 AM      0.00      0.00      0.00      0.04
