Linux 7.0.9-arch2-1 (archlinux) 	05/25/2026 	_x86_64_	(4 CPU)

11:03:09 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
11:03:14 AM      0.13      0.43      0.13      0.17
11:03:19 AM      0.07      0.39      0.13      0.15
11:03:24 AM      0.04      0.36      0.13      0.17
11:03:29 AM      0.02      0.33      0.13      0.15
11:03:34 AM      0.01      0.31      0.12      0.21
11:03:39 AM      0.00      0.28      0.12      0.17
11:03:44 AM      0.00      0.26      0.12      0.17
11:03:49 AM      0.00      0.23      0.12      0.21
11:03:54 AM      0.00      0.22      0.12      0.20
11:03:59 AM      0.00      0.19      0.11      0.18
11:04:04 AM      0.00      0.18      0.11      0.22
11:04:09 AM      0.00      0.16      0.11      0.16
11:04:14 AM      0.00      0.15      0.11      0.19
11:04:19 AM      0.00      0.14      0.10      0.17
11:04:24 AM      0.00      0.13      0.10      0.16
11:04:29 AM      0.00      0.11      0.10      0.16
11:04:34 AM      0.00      0.11      0.10      0.17
11:04:39 AM      0.00      0.09      0.09      0.15
11:04:44 AM      0.00      0.09      0.09      0.18
11:04:49 AM      0.00      0.08      0.09      0.14
11:04:54 AM      0.00      0.07      0.09      0.14
11:04:59 AM      0.00      0.06      0.08      0.19
11:05:04 AM      0.00      0.06      0.08      0.26
11:05:09 AM      0.00      0.05      0.08      0.18
11:05:14 AM      0.00      0.05      0.08      0.23
11:05:19 AM      0.00      0.04      0.07      0.19
11:05:24 AM      0.00      0.04      0.07      0.23
11:05:29 AM      0.00      0.03      0.07      0.23
11:05:34 AM      0.00      0.03      0.07      0.18
11:05:39 AM      0.00      0.03      0.06      0.21
11:05:44 AM      0.00      0.02      0.06      0.21
11:05:49 AM      0.00      0.02      0.06      0.26
11:05:54 AM      0.00      0.02      0.06      0.19
11:05:59 AM      0.00      0.02      0.06      0.24
11:06:04 AM      0.00      0.01      0.06      0.17
11:06:09 AM      0.00      0.01      0.06      0.16
11:06:14 AM      0.00      0.01      0.06      0.16
11:06:19 AM      0.00      0.01      0.06      0.19
11:06:24 AM      0.00      0.01      0.05      0.18
11:06:29 AM      0.00      0.01      0.05      0.18
11:06:34 AM      0.00      0.00      0.05      0.22
11:06:39 AM      0.00      0.00      0.05      0.21
11:06:44 AM      0.00      0.00      0.05      0.21
11:06:49 AM      0.00      0.00      0.05      0.20
11:06:54 AM      0.00      0.00      0.05      0.20
