Linux 7.0.10-arch1-1 (archlinux) 	05/28/2026 	_x86_64_	(4 CPU)

12:39:48 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
12:39:53 PM      0.00      0.06      0.09      0.07
12:39:58 PM      0.00      0.06      0.09      0.06
12:40:03 PM      0.00      0.05      0.09      0.05
12:40:08 PM      0.00      0.05      0.08      0.08
12:40:13 PM      0.00      0.04      0.08      0.05
12:40:18 PM      0.00      0.04      0.08      0.05
12:40:23 PM      0.00      0.03      0.08      0.05
12:40:28 PM      0.00      0.03      0.07      0.07
12:40:33 PM      0.00      0.03      0.07      0.05
12:40:38 PM      0.00      0.02      0.07      0.05
12:40:43 PM      0.00      0.02      0.07      0.05
12:40:48 PM      0.00      0.02      0.06      0.08
12:40:53 PM      0.00      0.02      0.06      0.05
12:40:58 PM      0.00      0.01      0.06      0.06
12:41:03 PM      0.00      0.01      0.06      0.04
12:41:08 PM      0.00      0.01      0.06      0.07
12:41:13 PM      0.00      0.01      0.06      0.05
12:41:18 PM      0.00      0.01      0.06      0.05
12:41:23 PM      0.00      0.01      0.06      0.05
12:41:28 PM      0.00      0.00      0.05      0.07
12:41:33 PM      0.00      0.00      0.05      0.05
12:41:38 PM      0.00      0.00      0.05      0.06
12:41:43 PM      0.00      0.00      0.05      0.05
12:41:48 PM      0.00      0.00      0.05      0.07
12:41:53 PM      0.00      0.00      0.05      0.05
12:41:58 PM      0.00      0.00      0.05      0.06
12:42:03 PM      0.00      0.00      0.05      0.07
12:42:08 PM      0.00      0.00      0.04      0.07
12:42:13 PM      0.00      0.00      0.04      0.05
12:42:18 PM      0.00      0.00      0.04      0.08
12:42:23 PM      0.00      0.00      0.04      0.05
12:42:28 PM      0.00      0.00      0.04      0.06
12:42:33 PM      0.00      0.00      0.04      0.05
12:42:38 PM      0.00      0.00      0.04      0.08
12:42:43 PM      0.00      0.00      0.04      0.04
12:42:48 PM      0.00      0.00      0.04      0.10
12:42:53 PM      0.00      0.00      0.03      0.06
12:42:58 PM      0.00      0.00      0.03      0.07
12:43:03 PM      0.00      0.00      0.03      0.05
12:43:08 PM      0.00      0.00      0.03      0.05
