Linux 7.0.9-arch2-1 (archlinux) 	05/23/2026 	_x86_64_	(4 CPU)

05:50:09 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
05:50:14 PM      0.00      0.24      0.12      0.19
05:50:19 PM      0.00      0.22      0.12      0.15
05:50:24 PM      0.00      0.20      0.12      0.17
05:50:29 PM      0.00      0.19      0.11      0.22
05:50:34 PM      0.00      0.17      0.11      0.17
05:50:39 PM      0.00      0.16      0.11      0.19
05:50:44 PM      0.00      0.14      0.11      0.18
05:50:49 PM      0.00      0.13      0.10      0.16
05:50:54 PM      0.00      0.12      0.10      0.18
05:50:59 PM      0.00      0.11      0.10      0.15
05:51:04 PM      0.00      0.10      0.10      0.17
05:51:09 PM      0.00      0.09      0.09      0.19
05:51:14 PM      0.00      0.08      0.09      0.19
05:51:19 PM      0.00      0.07      0.09      0.14
05:51:24 PM      0.00      0.07      0.09      0.20
05:51:29 PM      0.00      0.06      0.08      0.18
05:51:34 PM      0.00      0.05      0.08      0.17
05:51:39 PM      0.00      0.05      0.08      0.18
05:51:44 PM      0.00      0.04      0.08      0.17
05:51:49 PM      0.00      0.04      0.08      0.15
05:51:54 PM      0.00      0.04      0.07      0.17
05:51:59 PM      0.00      0.03      0.07      0.19
05:52:04 PM      0.00      0.03      0.07      0.20
05:52:09 PM      0.00      0.02      0.07      0.18
05:52:14 PM      0.00      0.02      0.06      0.15
05:52:19 PM      0.00      0.02      0.06      0.18
05:52:24 PM      0.00      0.02      0.06      0.14
05:52:29 PM      0.00      0.02      0.06      0.19
05:52:34 PM      0.00      0.01      0.06      0.21
05:52:39 PM      0.00      0.01      0.06      0.15
05:52:44 PM      0.00      0.01      0.06      0.19
05:52:49 PM      0.00      0.01      0.06      0.21
05:52:54 PM      0.00      0.01      0.05      0.20
05:52:59 PM      0.00      0.00      0.05      0.20
05:53:04 PM      0.00      0.00      0.05      0.15
05:53:09 PM      0.00      0.00      0.05      0.15
05:53:14 PM      0.00      0.00      0.05      0.16
05:53:19 PM      0.00      0.00      0.05      0.15
05:53:24 PM      0.00      0.00      0.05      0.14
05:53:29 PM      0.00      0.00      0.05      0.15
05:53:34 PM      0.00      0.00      0.04      0.18
05:53:39 PM      0.00      0.00      0.04      0.15
05:53:44 PM      0.00      0.00      0.04      0.15
05:53:49 PM      0.00      0.00      0.04      0.17
05:53:54 PM      0.00      0.00      0.04      0.18
05:53:59 PM      0.00      0.00      0.04      0.21
05:54:04 PM      0.00      0.00      0.04      0.15
05:54:09 PM      0.00      0.00      0.04      0.16
05:54:14 PM      0.00      0.00      0.04      0.19
05:54:19 PM      0.00      0.00      0.03      0.20
05:54:24 PM      0.00      0.00      0.03      0.22
05:54:29 PM      0.00      0.00      0.03      0.15
05:54:34 PM      0.00      0.00      0.03      0.19
05:54:39 PM      0.00      0.00      0.03      0.15
05:54:44 PM      0.00      0.00      0.03      0.21
05:54:49 PM      0.00      0.00      0.03      0.17
05:54:54 PM      0.00      0.00      0.03      0.24
05:54:59 PM      0.00      0.00      0.02      0.18
05:55:04 PM      0.00      0.00      0.02      0.23
