Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

02:32:12 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
02:42:37 PM      0.00      0.00      0.00      0.20
02:42:42 PM      0.00      0.00      0.00      0.17
02:42:47 PM      0.00      0.00      0.00      0.17
02:42:52 PM      0.00      0.00      0.00      0.20
02:42:57 PM      0.00      0.00      0.00      0.18
02:43:02 PM      0.00      0.00      0.00      0.16
02:43:07 PM      0.00      0.00      0.00      0.17
02:43:12 PM      0.00      0.00      0.00      0.15
02:43:17 PM      0.00      0.00      0.00      0.15
02:43:22 PM      0.00      0.00      0.00      0.22
02:43:27 PM      0.00      0.00      0.00      0.19
02:43:32 PM      0.00      0.00      0.00      0.16
02:43:37 PM      0.00      0.00      0.00      0.18
02:43:42 PM      0.00      0.00      0.00      0.18
02:43:47 PM      0.00      0.00      0.00      0.10
02:43:52 PM      0.00      0.00      0.00      0.20
02:43:57 PM      0.00      0.00      0.00      0.21
02:44:02 PM      0.00      0.00      0.00      0.14
02:44:07 PM      0.00      0.00      0.00      0.15
02:44:12 PM      0.00      0.00      0.00      0.15
02:44:17 PM      0.00      0.00      0.00      0.20
02:44:22 PM      0.00      0.00      0.00      0.18
02:44:27 PM      0.00      0.00      0.00      0.08
02:44:32 PM      0.00      0.00      0.00      0.20
02:44:37 PM      0.00      0.00      0.00      0.24
02:44:42 PM      0.00      0.00      0.00      0.17
02:44:47 PM      0.00      0.00      0.00      0.17
02:44:52 PM      0.00      0.00      0.00      0.16
02:44:57 PM      0.00      0.00      0.00      0.19
02:45:02 PM      0.00      0.00      0.00      0.21
02:45:07 PM      0.00      0.00      0.00      0.20
02:45:12 PM      0.00      0.00      0.00      0.15
02:45:17 PM      0.00      0.00      0.00      0.18
02:45:22 PM      0.00      0.00      0.00      0.18
02:45:27 PM      0.00      0.00      0.00      0.18
02:45:32 PM      0.00      0.00      0.00      0.12
02:45:37 PM      0.00      0.00      0.00      0.22
02:45:42 PM      0.00      0.00      0.00      0.22
02:45:47 PM      0.00      0.00      0.00      0.20
02:45:52 PM      0.00      0.00      0.00      0.17
02:45:57 PM      0.00      0.00      0.00      0.18
02:46:02 PM      0.00      0.00      0.00      0.20
02:46:07 PM      0.00      0.00      0.00      0.22
02:46:12 PM      0.00      0.00      0.00      0.20
02:46:17 PM      0.00      0.00      0.00      0.19
02:46:22 PM      0.00      0.00      0.00      0.20
02:46:27 PM      0.00      0.00      0.00      0.20
02:46:32 PM      0.00      0.00      0.00      0.18
02:46:37 PM      0.00      0.00      0.00      0.20
02:46:42 PM      0.00      0.00      0.00      0.16
02:46:47 PM      0.00      0.00      0.00      0.18
02:46:52 PM      0.00      0.00      0.00      0.13
02:46:57 PM      0.00      0.00      0.00      0.15
02:47:02 PM      0.00      0.00      0.00      0.21
02:47:07 PM      0.00      0.00      0.00      0.15
02:47:12 PM      0.00      0.00      0.00      0.18
02:47:17 PM      0.00      0.00      0.00      0.12
02:47:22 PM      0.00      0.00      0.00      0.06
02:47:27 PM      0.00      0.00      0.00      0.10
02:47:32 PM      0.00      0.00      0.00      0.16
02:47:37 PM      0.00      0.00      0.00      0.17
02:47:42 PM      0.00      0.00      0.00      0.16
02:47:47 PM      0.00      0.00      0.00      0.18
02:47:52 PM      0.00      0.00      0.00      0.14
02:47:57 PM      0.00      0.00      0.00      0.18
02:48:02 PM      0.00      0.00      0.00      0.17
02:48:07 PM      0.00      0.00      0.00      0.18
02:48:12 PM      0.00      0.00      0.00      0.17
02:48:17 PM      0.00      0.00      0.00      0.17
02:48:22 PM      0.00      0.00      0.00      0.15
02:48:27 PM      0.00      0.00      0.00      0.17
02:48:32 PM      0.00      0.00      0.00      0.19
02:48:37 PM      0.00      0.00      0.00      0.14
02:48:42 PM      0.00      0.00      0.00      0.19
02:48:47 PM      0.00      0.00      0.00      0.15
02:48:52 PM      0.00      0.00      0.00      0.20
02:48:57 PM      0.00      0.00      0.00      0.16
02:49:02 PM      0.00      0.00      0.00      0.15
02:49:07 PM      0.00      0.00      0.00      0.18
02:49:12 PM      0.00      0.00      0.00      0.17
02:49:17 PM      0.00      0.00      0.00      0.25
02:49:22 PM      0.00      0.00      0.00      0.15
02:49:27 PM      0.00      0.00      0.00      0.17
02:49:32 PM      0.00      0.00      0.00      0.20
02:49:37 PM      0.00      0.00      0.00      0.18
02:49:42 PM      0.00      0.00      0.00      0.19
02:49:47 PM      0.00      0.00      0.00      0.13
