Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

02:32:12 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
02:32:17 PM      0.05      0.18      0.06      0.10      0.04      0.13      0.04      0.09
02:32:22 PM      0.02      0.16      0.06      0.01      0.02      0.12      0.04      0.01
02:32:27 PM      0.01      0.15      0.06      0.04      0.01      0.11      0.04      0.04
02:32:32 PM      0.00      0.14      0.06      0.02      0.00      0.10      0.04      0.02
02:32:37 PM      0.00      0.13      0.06      0.04      0.00      0.09      0.04      0.04
02:32:42 PM      0.00      0.11      0.05      0.01      0.00      0.08      0.03      0.01
02:32:47 PM      0.00      0.11      0.05      0.02      0.00      0.08      0.03      0.02
02:32:52 PM      0.00      0.09      0.05      0.01      0.00      0.07      0.03      0.01
02:32:57 PM      0.00      0.09      0.05      0.01      0.00      0.06      0.03      0.01
02:33:02 PM      0.00      0.08      0.05      0.02      0.00      0.05      0.03      0.02
02:33:07 PM      0.00      0.07      0.05      0.07      0.00      0.05      0.03      0.07
02:33:12 PM      0.00      0.06      0.05      0.05      0.00      0.04      0.03      0.05
02:33:17 PM      0.00      0.06      0.05      0.01      0.00      0.04      0.03      0.01
02:33:22 PM      0.00      0.05      0.04      0.02      0.00      0.04      0.02      0.02
02:33:27 PM      0.00      0.05      0.04      0.00      0.00      0.03      0.02      0.00
02:33:32 PM      0.00      0.04      0.04      0.03      0.00      0.03      0.02      0.03
02:33:37 PM      0.00      0.04      0.04      0.03      0.00      0.03      0.02      0.03
02:33:42 PM      0.00      0.03      0.04      0.01      0.00      0.02      0.02      0.01
02:33:47 PM      0.00      0.03      0.04      0.03      0.00      0.02      0.02      0.03
02:33:52 PM      0.00      0.03      0.04      0.01      0.00      0.02      0.02      0.01
02:33:57 PM      0.00      0.02      0.04      0.05      0.00      0.02      0.02      0.05
02:34:02 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
02:34:07 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
02:34:12 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
02:34:17 PM      0.00      0.01      0.03      0.01      0.00      0.01      0.01      0.01
02:34:22 PM      0.00      0.01      0.03      0.02      0.00      0.01      0.01      0.02
02:34:27 PM      0.00      0.01      0.03      0.01      0.00      0.01      0.01      0.01
02:34:32 PM      0.00      0.01      0.03      0.02      0.00      0.00      0.01      0.02
02:34:37 PM      0.00      0.01      0.03      0.01      0.00      0.00      0.01      0.01
02:34:42 PM      0.00      0.01      0.02      0.03      0.00      0.00      0.00      0.03
02:34:47 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
02:34:52 PM      0.00      0.00      0.02      0.03      0.00      0.00      0.00      0.03
02:34:57 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
02:35:02 PM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
02:35:07 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
02:35:12 PM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
02:35:17 PM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
02:35:22 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
02:35:27 PM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
02:35:32 PM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
02:35:37 PM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
