Linux 7.0.10-arch1-1 (archlinux) 	06/02/2026 	_x86_64_	(4 CPU)

04:09:32 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
04:09:37 PM      0.00      0.00      0.00      0.16
04:09:42 PM      0.00      0.00      0.00      0.18
04:09:47 PM      0.00      0.00      0.00      0.19
04:09:52 PM      0.00      0.00      0.00      0.20
04:09:57 PM      0.00      0.00      0.00      0.16
04:10:02 PM      0.00      0.00      0.00      0.17
04:10:07 PM      0.00      0.00      0.00      0.18
04:10:12 PM      0.00      0.00      0.00      0.19
04:10:17 PM      0.00      0.00      0.00      0.18
04:10:22 PM      0.00      0.00      0.00      0.17
04:10:27 PM      0.00      0.00      0.00      0.19
04:10:32 PM      0.00      0.00      0.00      0.14
04:10:37 PM      0.00      0.00      0.00      0.16
04:10:42 PM      0.00      0.00      0.00      0.17
04:10:47 PM      0.00      0.00      0.00      0.18
04:10:52 PM      0.00      0.00      0.00      0.18
04:10:57 PM      0.00      0.00      0.00      0.27
04:11:02 PM      0.00      0.00      0.00      0.14
04:11:07 PM      0.00      0.00      0.00      0.18
04:11:12 PM      0.00      0.00      0.00      0.21
04:11:17 PM      0.00      0.00      0.00      0.18
04:11:22 PM      0.00      0.00      0.00      0.16
04:11:27 PM      0.00      0.00      0.00      0.17
04:11:32 PM      0.00      0.00      0.00      0.14
04:11:37 PM      0.00      0.00      0.00      0.14
04:11:42 PM      0.00      0.00      0.00      0.18
04:11:47 PM      0.00      0.00      0.00      0.12
04:11:52 PM      0.00      0.00      0.00      0.16
04:11:57 PM      0.00      0.00      0.00      0.14
04:12:02 PM      0.00      0.00      0.00      0.22
04:12:07 PM      0.00      0.00      0.00      0.24
04:12:12 PM      0.00      0.00      0.00      0.16
04:12:17 PM      0.00      0.00      0.00      0.20
04:12:22 PM      0.00      0.00      0.00      0.22
04:12:27 PM      0.00      0.00      0.00      0.19
04:12:32 PM      0.00      0.00      0.00      0.20
04:12:37 PM      0.00      0.00      0.00      0.17
04:12:42 PM      0.00      0.00      0.00      0.15
04:12:47 PM      0.00      0.00      0.00      0.14
04:12:52 PM      0.00      0.00      0.00      0.15
04:12:57 PM      0.00      0.00      0.00      0.21
04:13:02 PM      0.00      0.00      0.00      0.12
04:13:07 PM      0.00      0.00      0.00      0.19
04:13:12 PM      0.00      0.00      0.00      0.18
04:13:17 PM      0.00      0.00      0.00      0.18
04:13:22 PM      0.00      0.00      0.00      0.14
04:13:27 PM      0.00      0.00      0.00      0.21
04:13:32 PM      0.00      0.00      0.00      0.16
04:13:37 PM      0.00      0.00      0.00      0.12
04:13:42 PM      0.00      0.00      0.00      0.19
04:13:47 PM      0.00      0.00      0.00      0.22
04:13:52 PM      0.00      0.00      0.00      0.19
04:13:57 PM      0.00      0.00      0.00      0.14
04:14:02 PM      0.00      0.00      0.00      0.15
04:14:07 PM      0.00      0.00      0.00      0.22
04:14:12 PM      0.00      0.00      0.00      0.17
04:14:17 PM      0.00      0.00      0.00      0.25
04:14:22 PM      0.00      0.00      0.00      0.21
04:14:27 PM      0.00      0.00      0.00      0.21
04:14:32 PM      0.00      0.00      0.00      0.15
04:14:37 PM      0.00      0.00      0.00      0.18
04:14:42 PM      0.00      0.00      0.00      0.22
04:14:47 PM      0.00      0.00      0.00      0.18
04:14:52 PM      0.00      0.00      0.00      0.15
04:14:57 PM      0.00      0.00      0.00      0.20
04:15:02 PM      0.00      0.00      0.00      0.21
04:15:07 PM      0.00      0.00      0.00      0.14
04:15:12 PM      0.00      0.00      0.00      0.16
04:15:17 PM      0.00      0.00      0.00      0.19
04:15:22 PM      0.00      0.00      0.00      0.19
04:15:27 PM      0.00      0.00      0.00      0.18
04:15:32 PM      0.00      0.00      0.00      0.24
04:15:37 PM      0.00      0.00      0.00      0.12
04:15:42 PM      0.00      0.00      0.00      0.07
04:15:47 PM      0.00      0.00      0.00      0.09
04:15:52 PM      0.00      0.00      0.00      0.16
04:15:57 PM      0.00      0.00      0.00      0.18
04:16:02 PM      0.00      0.00      0.00      0.18
04:16:07 PM      0.00      0.00      0.00      0.18
04:16:12 PM      0.00      0.00      0.00      0.15
04:16:17 PM      0.00      0.00      0.00      0.17
04:16:22 PM      0.00      0.00      0.00      0.17
04:16:27 PM      0.00      0.00      0.00      0.18
04:16:32 PM      0.00      0.00      0.00      0.16
04:16:37 PM      0.00      0.00      0.00      0.16
04:16:42 PM      0.00      0.00      0.00      0.20
04:16:47 PM      0.00      0.00      0.00      0.16
04:16:52 PM      0.00      0.00      0.00      0.14
04:16:57 PM      0.00      0.00      0.00      0.14
04:17:02 PM      0.00      0.00      0.00      0.17
04:17:07 PM      0.00      0.00      0.00      0.18
04:17:12 PM      0.00      0.00      0.00      0.20
04:17:17 PM      0.00      0.00      0.00      0.14
04:17:22 PM      0.00      0.00      0.00      0.25
04:17:27 PM      0.00      0.00      0.00      0.13
04:17:32 PM      0.00      0.00      0.00      0.16
04:17:37 PM      0.00      0.00      0.00      0.28
04:17:42 PM      0.00      0.00      0.00      0.17
04:17:47 PM      0.00      0.00      0.00      0.17
04:17:52 PM      0.00      0.00      0.00      0.13
04:17:57 PM      0.00      0.00      0.00      0.19
04:18:02 PM      0.00      0.00      0.00      0.23
04:18:07 PM      0.00      0.00      0.00      0.18
04:18:12 PM      0.00      0.00      0.00      0.19
04:18:17 PM      0.00      0.00      0.00      0.17
04:18:22 PM      0.00      0.00      0.00      0.15
04:18:27 PM      0.00      0.00      0.00      0.19
