Linux 7.0.9-arch2-1 (archlinux) 	05/25/2026 	_x86_64_	(4 CPU)

08:19:15 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
08:29:40 AM      0.00      0.00      0.00      0.17
08:29:45 AM      0.00      0.00      0.00      0.14
08:29:50 AM      0.00      0.00      0.00      0.16
08:29:55 AM      0.00      0.00      0.00      0.17
08:30:00 AM      0.00      0.00      0.00      0.19
08:30:05 AM      0.00      0.00      0.00      0.17
08:30:10 AM      0.00      0.00      0.00      0.18
08:30:15 AM      0.00      0.00      0.00      0.18
08:30:20 AM      0.00      0.00      0.00      0.16
08:30:25 AM      0.00      0.00      0.00      0.22
08:30:30 AM      0.00      0.00      0.00      0.18
08:30:35 AM      0.00      0.00      0.00      0.18
08:30:40 AM      0.00      0.00      0.00      0.20
08:30:45 AM      0.00      0.00      0.00      0.15
08:30:50 AM      0.00      0.00      0.00      0.21
08:30:55 AM      0.00      0.00      0.00      0.18
08:31:00 AM      0.00      0.00      0.00      0.19
08:31:05 AM      0.00      0.00      0.00      0.19
08:31:10 AM      0.00      0.00      0.00      0.17
08:31:15 AM      0.00      0.00      0.00      0.17
08:31:20 AM      0.00      0.00      0.00      0.20
08:31:25 AM      0.00      0.00      0.00      0.18
08:31:30 AM      0.00      0.00      0.00      0.16
08:31:35 AM      0.00      0.00      0.00      0.15
08:31:40 AM      0.00      0.00      0.00      0.17
08:31:45 AM      0.00      0.00      0.00      0.17
08:31:50 AM      0.00      0.00      0.00      0.18
08:31:55 AM      0.00      0.00      0.00      0.17
08:32:00 AM      0.00      0.00      0.00      0.21
08:32:05 AM      0.00      0.00      0.00      0.18
08:32:10 AM      0.00      0.00      0.00      0.21
08:32:15 AM      0.00      0.00      0.00      0.14
08:32:20 AM      0.00      0.00      0.00      0.17
08:32:25 AM      0.00      0.00      0.00      0.14
08:32:30 AM      0.00      0.00      0.00      0.20
08:32:35 AM      0.00      0.00      0.00      0.23
08:32:40 AM      0.00      0.00      0.00      0.20
