Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

07:24:02 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
07:24:07 PM      0.00      0.00      0.00      0.36
07:24:12 PM      0.00      0.00      0.00      0.16
07:24:17 PM      0.00      0.00      0.00      0.16
07:24:22 PM      0.00      0.00      0.00      0.15
07:24:27 PM      0.00      0.00      0.00      0.18
07:24:32 PM      0.00      0.00      0.00      0.17
07:24:37 PM      0.00      0.00      0.00      0.17
07:24:42 PM      0.00      0.00      0.00      0.14
07:24:47 PM      0.00      0.00      0.00      0.21
07:24:52 PM      0.00      0.00      0.00      0.18
07:24:57 PM      0.00      0.00      0.00      0.15
07:25:02 PM      0.00      0.00      0.00      0.13
07:25:07 PM      0.00      0.00      0.00      0.20
07:25:12 PM      0.00      0.00      0.00      0.17
07:25:17 PM      0.00      0.00      0.00      0.18
07:25:22 PM      0.00      0.00      0.00      0.20
07:25:27 PM      0.00      0.00      0.00      0.16
07:25:32 PM      0.00      0.00      0.00      0.22
07:25:37 PM      0.00      0.00      0.00      0.19
07:25:42 PM      0.00      0.00      0.00      0.18
07:25:47 PM      0.00      0.00      0.00      0.17
07:25:52 PM      0.00      0.00      0.00      0.21
07:25:57 PM      0.00      0.00      0.00      0.16
07:26:02 PM      0.00      0.00      0.00      0.19
07:26:07 PM      0.00      0.00      0.00      0.13
07:26:12 PM      0.00      0.00      0.00      0.18
07:26:17 PM      0.00      0.00      0.00      0.17
07:26:22 PM      0.00      0.00      0.00      0.19
07:26:27 PM      0.00      0.00      0.00      0.22
07:26:32 PM      0.00      0.00      0.00      0.15
07:26:37 PM      0.00      0.00      0.00      0.19
07:26:42 PM      0.00      0.00      0.00      0.16
07:26:47 PM      0.00      0.00      0.00      0.12
07:26:52 PM      0.00      0.00      0.00      0.15
07:26:57 PM      0.00      0.00      0.00      0.19
07:27:02 PM      0.00      0.00      0.00      0.23
07:27:07 PM      0.00      0.00      0.00      0.16
07:27:12 PM      0.00      0.00      0.00      0.17
07:27:17 PM      0.00      0.00      0.00      0.16
07:27:22 PM      0.00      0.00      0.00      0.13
07:27:27 PM      0.00      0.00      0.00      0.19
07:27:32 PM      0.00      0.00      0.00      0.18
07:27:37 PM      0.00      0.00      0.00      0.15
07:27:42 PM      0.00      0.00      0.00      0.19
07:27:47 PM      0.00      0.00      0.00      0.22
07:27:52 PM      0.00      0.00      0.00      0.14
07:27:57 PM      0.00      0.00      0.00      0.13
07:28:02 PM      0.00      0.00      0.00      0.20
07:28:07 PM      0.00      0.00      0.00      0.13
07:28:12 PM      0.00      0.00      0.00      0.13
07:28:17 PM      0.00      0.00      0.00      0.18
07:28:22 PM      0.00      0.00      0.00      0.16
07:28:27 PM      0.00      0.00      0.00      0.13
07:28:32 PM      0.00      0.00      0.00      0.13
07:28:37 PM      0.00      0.00      0.00      0.20
07:28:42 PM      0.00      0.00      0.00      0.20
07:28:47 PM      0.00      0.00      0.00      0.21
07:28:52 PM      0.00      0.00      0.00      0.14
07:28:57 PM      0.00      0.00      0.00      0.19
07:29:02 PM      0.00      0.00      0.00      0.22
07:29:07 PM      0.00      0.00      0.00      0.17
07:29:12 PM      0.00      0.00      0.00      0.17
07:29:17 PM      0.00      0.00      0.00      0.27
07:29:22 PM      0.00      0.00      0.00      0.17
07:29:27 PM      0.00      0.00      0.00      0.18
07:29:32 PM      0.00      0.00      0.00      0.17
07:29:37 PM      0.00      0.00      0.00      0.17
07:29:42 PM      0.00      0.00      0.00      0.18
07:29:47 PM      0.00      0.00      0.00      0.19
07:29:52 PM      0.00      0.00      0.00      0.17
07:29:57 PM      0.00      0.00      0.00      0.15
07:30:02 PM      0.00      0.00      0.00      0.18
07:30:07 PM      0.00      0.00      0.00      0.20
07:30:12 PM      0.00      0.00      0.00      0.05
07:30:17 PM      0.00      0.00      0.00      0.10
07:30:22 PM      0.00      0.00      0.00      0.22
07:30:27 PM      0.00      0.00      0.00      0.22
07:30:32 PM      0.00      0.00      0.00      0.18
07:30:37 PM      0.00      0.00      0.00      0.17
07:30:42 PM      0.00      0.00      0.00      0.17
07:30:47 PM      0.00      0.00      0.00      0.20
07:30:52 PM      0.00      0.00      0.00      0.18
07:30:57 PM      0.00      0.00      0.00      0.19
07:31:02 PM      0.00      0.00      0.00      0.19
07:31:07 PM      0.00      0.00      0.00      0.20
07:31:12 PM      0.00      0.00      0.00      0.18
07:31:17 PM      0.00      0.00      0.00      0.20
07:31:22 PM      0.00      0.00      0.00      0.17
07:31:27 PM      0.00      0.00      0.00      0.24
07:31:32 PM      0.00      0.00      0.00      0.27
07:31:37 PM      0.00      0.00      0.00      0.20
07:31:43 PM      0.00      0.00      0.00      0.19
07:31:48 PM      0.00      0.00      0.00      0.22
07:31:53 PM      0.00      0.00      0.00      0.20
07:31:58 PM      0.00      0.00      0.00      0.18
07:32:03 PM      0.00      0.00      0.00      0.28
07:32:08 PM      0.00      0.00      0.00      0.27
07:32:13 PM      0.00      0.00      0.00      0.18
07:32:18 PM      0.00      0.00      0.00      0.14
07:32:23 PM      0.00      0.00      0.00      0.16
07:32:28 PM      0.00      0.00      0.00      0.24
07:32:33 PM      0.00      0.00      0.00      0.14
07:32:38 PM      0.00      0.00      0.00      0.17
07:32:43 PM      0.00      0.00      0.00      0.17
07:32:48 PM      0.00      0.00      0.00      0.22
07:32:53 PM      0.00      0.00      0.00      0.17
07:32:58 PM      0.00      0.00      0.00      0.17
07:33:03 PM      0.00      0.00      0.00      0.17
07:33:08 PM      0.00      0.00      0.00      0.16
07:33:13 PM      0.00      0.00      0.00      0.17
07:33:18 PM      0.00      0.00      0.00      0.19
07:33:23 PM      0.00      0.00      0.00      0.16
07:33:28 PM      0.00      0.00      0.00      0.17
07:33:33 PM      0.00      0.00      0.00      0.13
07:33:38 PM      0.00      0.00      0.00      0.19
07:33:43 PM      0.00      0.00      0.00      0.17
07:33:48 PM      0.00      0.00      0.00      0.21
07:33:53 PM      0.00      0.00      0.00      0.14
07:33:58 PM      0.00      0.00      0.00      0.16
07:34:03 PM      0.00      0.00      0.00      0.15
07:34:08 PM      0.00      0.00      0.00      0.19
07:34:13 PM      0.00      0.00      0.00      0.18
07:34:18 PM      0.00      0.00      0.00      0.14
07:34:23 PM      0.00      0.00      0.00      0.19
07:34:28 PM      0.00      0.00      0.00      0.21
07:34:33 PM      0.00      0.00      0.00      0.13
07:34:38 PM      0.00      0.00      0.00      0.19
07:34:43 PM      0.00      0.00      0.00      0.18
07:34:48 PM      0.00      0.00      0.00      0.17
07:34:53 PM      0.00      0.00      0.00      0.21
07:34:58 PM      0.00      0.00      0.00      0.12
07:35:03 PM      0.00      0.00      0.00      0.15
07:35:08 PM      0.00      0.00      0.00      0.13
07:35:13 PM      0.00      0.00      0.00      0.14
07:35:18 PM      0.00      0.00      0.00      0.16
07:35:23 PM      0.00      0.00      0.00      0.16
07:35:28 PM      0.00      0.00      0.00      0.13
07:35:33 PM      0.00      0.00      0.00      0.19
07:35:38 PM      0.00      0.00      0.00      0.21
07:35:43 PM      0.00      0.00      0.00      0.15
07:35:48 PM      0.00      0.00      0.00      0.16
07:35:53 PM      0.00      0.00      0.00      0.21
07:35:58 PM      0.00      0.00      0.00      0.17
07:36:03 PM      0.00      0.00      0.00      0.18
07:36:08 PM      0.00      0.00      0.00      0.20
07:36:13 PM      0.00      0.00      0.00      0.06
